eco,name,urlName,pgn,mdx
A00,Amar Opening,amar-opening,1. Nh3,
A00,Amar Opening: Paris Gambit,amar-opening-paris-gambit,1. Nh3 d5 2. g3 e5 3. f4,
A00,"Amar Opening: Paris Gambit, Gent Gambit",amar-opening-paris-gambit-gent-gambit,1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3,
A00,Amsterdam Attack,amsterdam-attack,1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6,
A00,Anderssen's Opening,anderssens-opening,1. a3,
A00,Anderssen's Opening: Polish Gambit,anderssens-opening-polish-gambit,1. a3 a5 2. b4,
A00,Barnes Opening,barnes-opening,1. f3,
A00,Barnes Opening: Fool's Mate,barnes-opening-fools-mate,1. f3 e5 2. g4 Qh4#,
A00,Barnes Opening: Gedult Gambit,barnes-opening-gedult-gambit,1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3,
A00,Barnes Opening: Gedult Gambit,barnes-opening-gedult-gambit,1. f3 f5 2. e4 fxe4 3. Nc3,
A00,Barnes Opening: Hammerschlag,barnes-opening-hammerschlag,1. f3 e5 2. Kf2,
A00,Clemenz Opening,clemenz-opening,1. h3,
A00,Clemenz Opening: Spike Lee Gambit,clemenz-opening-spike-lee-gambit,1. h3 h5 2. g4,
A00,Creepy Crawly Formation: Classical Defense,creepy-crawly-formation-classical-defense,1. h3 d5 2. a3 e5,
A00,Formation: Hippopotamus Attack,formation-hippopotamus-attack,1. a3 e5 2. b3 d5 3. c3 Nf6 4. d3 Nc6 5. e3 Bd6 6. f3 O-O 7. g3,
A00,Formation: Shy Attack,formation-shy-attack,1. a3 e5 2. g3 d5 3. Bg2 Nf6 4. d3 Nc6 5. Nd2 Bd6 6. e3 O-O 7. h3,
A00,Global Opening,global-opening,1. h3 e5 2. a3,
A00,Grob Opening,grob-opening,1. g4,
A00,Grob Opening: Alessi Gambit,grob-opening-alessi-gambit,1. g4 f5,
A00,Grob Opening: Double Grob,grob-opening-double-grob,1. g4 g5,
A00,"Grob Opening: Double Grob, Coca-Cola Gambit",grob-opening-double-grob-coca-cola-gambit,1. g4 g5 2. f4,
A00,Grob Opening: Grob Gambit,grob-opening-grob-gambit,1. g4 d5 2. Bg2,
A00,Grob Opening: Grob Gambit Declined,grob-opening-grob-gambit-declined,1. g4 d5 2. Bg2 c6,
A00,"Grob Opening: Grob Gambit, Basman Gambit",grob-opening-grob-gambit-basman-gambit,1. g4 d5 2. Bg2 h5 3. gxh5,
A00,"Grob Opening: Grob Gambit, Fritz Gambit",grob-opening-grob-gambit-fritz-gambit,1. g4 d5 2. Bg2 Bxg4 3. c4,
A00,"Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit",grob-opening-grob-gambit-fritz-gambit-romford-countergambit,1. g4 d5 2. Bg2 Bxg4 3. c4 d4 4. Bxb7 Nd7 5. Bxa8 Qxa8,
A00,"Grob Opening: Grob Gambit, Keres Gambit",grob-opening-grob-gambit-keres-gambit,1. g4 d5 2. Bg2 e5 3. d4 exd4 4. c3,
A00,"Grob Opening: Grob Gambit, Richter-Grob Gambit",grob-opening-grob-gambit-richter-grob-gambit,1. g4 d5 2. Bg2 c6 3. c4 dxc4 4. b3,
A00,Grob Opening: Keene Defense,grob-opening-keene-defense,1. g4 d5 2. h3 e5 3. Bg2 c6,
A00,"Grob Opening: Keene Defense, Main Line",grob-opening-keene-defense-main-line,1. g4 d5 2. h3 e5 3. Bg2 c6 4. d4 e4 5. c4 Bd6 6. Nc3 Ne7,
A00,Grob Opening: London Defense,grob-opening-london-defense,1. g4 e5 2. h3 Nc6,
A00,Grob Opening: Romford Countergambit,grob-opening-romford-countergambit,1. g4 d5 2. Bg2 Bxg4 3. c4 d4,
A00,Grob Opening: Spike Attack,grob-opening-spike-attack,1. g4 d5 2. Bg2 c6 3. g5,
A00,"Grob Opening: Spike, Hurst Attack",grob-opening-spike-hurst-attack,1. g4 e5 2. Bg2 d5 3. c4,
A00,Grob Opening: Zilbermints Gambit,grob-opening-zilbermints-gambit,1. g4 d5 2. e4 dxe4 3. Nc3,
A00,"Grob Opening: Zilbermints Gambit, Schiller Defense",grob-opening-zilbermints-gambit-schiller-defense,1. g4 d5 2. e4 dxe4 3. Nc3 h5,
A00,"Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit",grob-opening-zilbermints-gambit-zilbermints-hartlaub-gambit,1. g4 d5 2. e4 dxe4 3. Nc3 e5 4. d3,
A00,Hungarian Opening,hungarian-opening,1. g3,
A00,Hungarian Opening: Asten Gambit,hungarian-opening-asten-gambit,1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4 f5,
A00,Hungarian Opening: Burk Gambit,hungarian-opening-burk-gambit,1. g3 e5 2. a3 d5 3. Nf3 e4 4. Nh4 Be7 5. d3,
A00,Hungarian Opening: Bücker Gambit,hungarian-opening-bucker-gambit,1. g3 d5 2. Bg2 e5 3. b4,
A00,Hungarian Opening: Catalan Formation,hungarian-opening-catalan-formation,1. g3 d5 2. Bg2 e6,
A00,Hungarian Opening: Dutch Defense,hungarian-opening-dutch-defense,1. g3 f5,
A00,Hungarian Opening: Indian Defense,hungarian-opening-indian-defense,1. g3 Nf6,
A00,Hungarian Opening: Myers Defense,hungarian-opening-myers-defense,1. g3 g5,
A00,Hungarian Opening: Pachman Gambit,hungarian-opening-pachman-gambit,1. g3 f5 2. e4 fxe4 3. Qh5+ g6,
A00,Hungarian Opening: Paris Gambit,hungarian-opening-paris-gambit,1. g3 e5 2. Nh3 d5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O,
A00,Hungarian Opening: Reversed Alekhine,hungarian-opening-reversed-alekhine,1. g3 e5 2. Nf3,
A00,"Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit",hungarian-opening-reversed-brooklyn-defense-brooklyn-benko-gambit,1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4,
A00,Hungarian Opening: Reversed Modern Defense,hungarian-opening-reversed-modern-defense,1. g3 d5 2. Bg2 c5,
A00,Hungarian Opening: Reversed Norwegian Defense,hungarian-opening-reversed-norwegian-defense,1. g3 e5 2. Nf3 e4 3. Nh4,
A00,Hungarian Opening: Sicilian Invitation,hungarian-opening-sicilian-invitation,1. g3 c5,
A00,Hungarian Opening: Slav Formation,hungarian-opening-slav-formation,1. g3 d5 2. Bg2 c6,
A00,Hungarian Opening: Symmetrical Variation,hungarian-opening-symmetrical-variation,1. g3 g6,
A00,Hungarian Opening: Van Kuijk Gambit,hungarian-opening-van-kuijk-gambit,1. g3 h5 2. Nf3 h4,
A00,Hungarian Opening: Winterberg Gambit,hungarian-opening-winterberg-gambit,1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3,
A00,Kádas Opening,kadas-opening,1. h4,
A00,Kádas Opening: Beginner's Trap,kadas-opening-beginners-trap,1. h4 d5 2. Rh3,
A00,Kádas Opening: Koola-Koola Variation,kadas-opening-koola-koola-variation,1. h4 a5,
A00,Kádas Opening: Kádas Gambit,kadas-opening-kadas-gambit,1. h4 c5 2. b4,
A00,Kádas Opening: Kádas Gambit,kadas-opening-kadas-gambit,1. h4 d5 2. d4 c5 3. Nf3 cxd4 4. c3,
A00,Kádas Opening: Kádas Gambit,kadas-opening-kadas-gambit,1. h4 e5 2. d4 exd4 3. c3,
A00,Kádas Opening: Myers Variation,kadas-opening-myers-variation,1. h4 d5 2. d4 c5 3. e4,
A00,Kádas Opening: Schneider Gambit,kadas-opening-schneider-gambit,1. h4 g5,
A00,Kádas Opening: Steinbok Gambit,kadas-opening-steinbok-gambit,1. h4 f5 2. e4 fxe4 3. d3,
A00,Lasker Simul Special,lasker-simul-special,1. g3 h5,
A00,Mieses Opening,mieses-opening,1. d3,
A00,Mieses Opening: Myers Spike Attack,mieses-opening-myers-spike-attack,1. d3 g6 2. g4,
A00,Mieses Opening: Reversed Rat,mieses-opening-reversed-rat,1. d3 e5,
A00,Mieses Opening: Venezolana Variation,mieses-opening-venezolana-variation,1. d3 c5 2. Nc3 Nc6 3. g3,
A00,Polish Opening,polish-opening,1. b4,
A00,Polish Opening: Baltic Defense,polish-opening-baltic-defense,1. b4 d5 2. Bb2 Bf5,
A00,Polish Opening: Birmingham Gambit,polish-opening-birmingham-gambit,1. b4 c5,
A00,Polish Opening: Bugayev Advance Variation,polish-opening-bugayev-advance-variation,1. b4 e5 2. Bb2 f6 3. b5,
A00,Polish Opening: Bugayev Attack,polish-opening-bugayev-attack,1. b4 e5 2. a3,
A00,Polish Opening: Czech Defense,polish-opening-czech-defense,1. b4 e5 2. Bb2 d6,
A00,Polish Opening: Dutch Defense,polish-opening-dutch-defense,1. b4 f5,
A00,Polish Opening: German Defense,polish-opening-german-defense,1. b4 d5 2. Bb2 Qd6,
A00,Polish Opening: Grigorian Variation,polish-opening-grigorian-variation,1. b4 Nc6,
A00,Polish Opening: Karniewski Variation,polish-opening-karniewski-variation,1. b4 Nh6,
A00,Polish Opening: King's Indian Variation,polish-opening-kings-indian-variation,1. b4 Nf6 2. Bb2 g6,
A00,"Polish Opening: King's Indian Variation, Schiffler Attack",polish-opening-kings-indian-variation-schiffler-attack,1. b4 Nf6 2. Bb2 g6 3. e4,
